month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
10,18,2023,291,18-Oct-23,Puerto Ayora,arida,58,Barranco,-0.73862,-90.3017,0,6:31,8:30,0:00,2,,,,DL,FOR,SM2425,U,0,0,11.8,11.1,7.7,20.9,68,20.27,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,CRA,SM2426,M,5,0,11.9,11.59,7.92,24.29,82,27.51,R,NA,NA,0,A,1,1,1,0,,MENOS 1 DEDO,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,PAR,SMA1724,U,0,0,8.56,6.97,5.17,17.68,60,11.59,I,C,8.9,0,B,0,1,0,0,,"MEOS 3 DEDOS, ANILLO NARANJA",,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FUL,SMA1725,M,4,0,10.46,7.58,5.49,17.12,62,14.35,U,NA,NA,0,B,1,1,1,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FOR,SM2394,U,0,0,14.19,11.22,7.61,17.65,68,18.07,R,NA,NA,0,B,0,0,0,0,1,MENOS 1 DEDO,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FUL,SMA1726,M,5,0,10.14,7.51,5.48,18.36,62,16.45,R,NA,NA,0,A,0,1,1,0,,MENOS 1 DEDO,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FUL,SMA1727,U,0,0,9.2,7.56,5.68,17.46,60,16.43,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,GAMO,SMC097,M,0,CP5,16.48,NA,NA,30.07,103,38.03,R,NA,NA,0,A,1,1,1,0,,MENOS 2 DEDOS,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FUL,SMA1728,U,0,0,9.71,7.32,5.6,16.78,61,13.38,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FUL,SM162,M,5,0,9.05,7.22,5.17,18,60,13.75,U,NA,NA,0,B,0,1,1,0,1,"PATAS PALIDAS, PICO IGUAL PALIDO",,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,PAR,SMA1729,U,0,0,8.79,6.98,4.85,17.51,60,10.91,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,PAR,SMA1730,U,0,0,9.14,6.6,4.75,18.03,61,11.26,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,PAR,SMA1731,U,0,0,8.72,6.84,5.21,16.21,60,11.1,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,PAR,SMA1732,U,0,0,8.99,6.92,5.21,16.82,60,12.06,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,FOR,SM2427,U,0,0,12.91,11.59,7.26,18.29,67,20.12,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,YT,PAR,SMA1733,U,0,0,8.35,7.2,4.88,17.08,55,10.76,R,NA,NA,0,B,0,0,0,0,,"MENOS 4 DEDOS, NO PRESENTA PLUMAS ALREDEDOR DEL OJO ",,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,AG,FUL,SMA1734,U,0,0,9.8,6.8,4.7,20,60,12.7,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,AG,FUL,SMA1735,U,0,0,10.8,8.7,5.7,19.6,64,14.39,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,20,2023,293,20-Oct-23,Puerto Ayora,arida,59,Barranco,-0.73862,-90.3017,0,6:15,8:30,0:00,2,,,,AG,FUL,SMA1552,U,0,0,8.3,6.9,5.3,18.6,60,14.14,U,NA,NA,0,A,0,0,0,0,1,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1736,M,3,0,8.48,6.36,4.42,17.87,61,14.91,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
